leak_rate,leak_prob
0,0
0.08,1.21530765199161
0.16,0.510272536687631
0.24,0.736095399779372
0.32,0.882763857251329
0.4,0.444024090491522
0.48,0.42574326687653
0.56,0.42574326687653
0.64,0.443378529141662
0.72,0.471400903808908
0.8,0.530839534751804
0.88,0.403859132937934
0.96,0.242985409652076
1.04,0.238009722625149
1.12,0.227734261676821
1.2,0.227734261676819
1.28,0.227734261676821
1.36,0.226344425998067
1.44,0.148315080033698
1.52,0.148315080033698
1.6,0.14755780269049
1.68,0.133169533169533
1.76,0.133169533169533
1.84,0.133169533169535
1.92,0.082176031371141
2,0.028835002635741
2.08,0.035678631399076
2.16,0.087078651685393
2.24,0.087078651685393
2.32,0.08729693821616
2.4,0.174393263992075
2.48,0.174393263992076
2.56,0.16113067778487
2.64,0.146690734055355
2.72,0.100724212361311
2.8,0.032132424537489
2.88,0.032132424537487
2.96,0.032132424537489
3.04,0.186231979101571
3.12,0.251430469083155
3.2,0.022394557823127
3.28,0.02239455782313
3.36,0.02239455782313
3.44,0.022394557823129
3.52,0.011997171392046
3.6,0.005522531160115
3.68,0.005522531160115
3.76,0.005522531160115
3.84,0.005522531160114
3.92,0.005522531160117
4,0.046100091566249
4.08,0.399455728200943
4.16,0.01721337082162
4.24,0.017213370821619
4.32,0.017213370821617
4.4,0.021871150224249
4.48,0.103869731800764
4.56,0.103869731800767
4.64,0.103869731800767
4.72,0.214740198340331
4.8,0.243990384615386
4.88,0.098870936900802
4.96,0.039956011730204
5.04,0.039956011730205
5.12,0.034118620109663
5.2,0.02057877813505
5.28,0.020578778135047
5.36,0.017005913545221
5.44,0.001897133220911
5.52,0.001897133220911
5.6,0.002218434573947
5.68,0.003317249698433
5.76,0.019557880452034
5.84,0.108947368421054
5.92,0.114059029286569
6,0.065671206714553
6.08,0.01358189081225
6.16,0.01358189081225
6.24,0.004556711109692
6.32,3.56548609456442E-05
6.4,3.5654860947032E-05
6.48,3.5654860947032E-05
6.56,3.56548609442564E-05
6.64,3.5654860947032E-05
6.72,3.56548609456442E-05
6.8,3.56548609456442E-05
6.88,3.56548609456442E-05
6.96,3.56548609456442E-05
7.04,3.55802840468211E-05
7.12,3.51535036330341E-05
7.2,3.51535036330341E-05
7.28,3.51535036316464E-05
7.36,3.51535036330341E-05
7.44,3.51535036316464E-05
7.52,3.51535036330341E-05
7.6,3.51535036316464E-05
7.68,3.51535036316464E-05
7.76,3.51535036330341E-05
7.84,3.51535036330341E-05
7.92,0.01207994474077
8,0.025063291139243
